,LOST_DATE,CLOSE_DATE,SHOP_ID,CANAL,MACRO_INDUSTRY,ENGAGEMENT_TYPE,OPPORTUNITY_TYPE,TEAM,LOSS_TYPE,LOST_MRR,COACH,ZIPCODE,CITY,COUNTRY,OPENING_TIME,CLOSING_TIME,IS_CANCELLED,CANCELLED_AT,AUTOMATIC_PLANNING_USES,POPULAR_SHIFTS_COUNT,OPTIMISATION_ACTIVATED_BY_HAND,MEAL_COMPENSATION_ACTIVATED,SEND_REPORT_BY_EMAIL,DAY_BADGING_ACTIVATED,CONFIGURED,BADGING,AUTOMATIC_PLANNING_ACTIVE,INTEGRATIONS,LATITUDE,LONGITUDE,CREATED_AT
19,2021-10-30,2021-02-01,1743,Outbound,Hospitality,Mensuel,Contract Change,,Churn,109.0,marie-victoire@skello.io,35740,PACE,FR,2018-07-30 09:00:00.000000000,2018-07-30 00:00:00.000000000,True,2021-10-30 00:00:00.000000000,0,5,True,True,False,False,True,False,False,,48.1409196,-1.7674476,2018-07-31 14:29:23.371493000
20,2021-11-18,2021-09-30,5790,Outbound,Hospitality,Mensuel,Contract Change,,Churn,125.1,agathe.lemaistre@skello.io,59777,LILLE,FR,2020-03-09 07:00:00.000000000,2020-03-09 01:00:00.000000000,True,2021-11-18 00:00:00.000000000,0,10,True,True,False,False,True,True,False,,50.6372213,3.0742948,2020-02-11 17:26:34.976804000
21,2022-01-03,2021-10-31,10458,Outbound,Hospitality,Mensuel,Newbiz,Outbound,Churn,139.0,marie@skello.io,92800,Puteaux,FR,2021-10-13 07:00:00.000000000,2021-10-13 23:00:00.000000000,True,2022-01-03 00:00:00.000000000,0,5,False,True,False,False,True,True,False,,48.8915181,2.2378178,2021-10-01 14:36:53.282998000
22,2021-10-05,2021-04-01,8838,Inbound,Other,Mensuel,Newbiz,Inbound,Churn,139.0,hello@skello.io,73170,YENNE,FR,2021-04-28 00:00:00.000000000,2021-04-28 00:00:00.000000000,True,2021-10-15 00:00:00.000000000,0,5,True,False,False,False,True,True,False,,,,2021-03-30 12:24:43.217854000
23,2022-02-11,2021-03-24,2800,Inbound,Hospitality,Mensuel,Contract Change,,Churn,139.0,ilona.dronne@skello.io,75011,PARIS,FR,2021-05-25 04:00:00.000000000,2021-05-25 22:00:00.000000000,False,,0,5,True,True,False,False,True,True,False,,48.8604855,2.3789848,2019-02-18 09:27:58.624521000
24,2022-03-14,2020-07-28,6907,Inbound,Hospitality,Mensuel,Newbiz,Inbound,Churn,119.0,emma@skello.io,78240,chambourcy,FR,2020-07-28 00:00:00.000000000,2020-07-28 00:00:00.000000000,True,2022-03-14 00:00:00.000000000,0,5,True,True,False,False,True,True,False,,49.022389,1.5057297,2020-07-28 10:05:16.805216000
25,2021-10-01,2020-10-02,7380,Inbound,Health,Annuel,Newbiz,,Churn,169.2,hello@skello.io,30190,La Calmette ,FR,2020-11-27 08:00:00.000000000,2020-11-27 20:00:00.000000000,True,2021-11-13 00:00:00.000000000,0,5,True,False,False,False,True,True,False,,43.9233647,4.2572509,2020-09-29 10:01:54.697052000
26,2021-10-28,2021-06-30,7064,Inbound,Hospitality,Mensuel,Contract Change,Inbound,Churn,168.0,emma@skello.io,1050 ixelles,Ixelles,BE,2020-08-19 00:00:00.000000000,2020-08-19 00:00:00.000000000,True,2021-10-28 00:00:00.000000000,0,5,False,True,False,False,True,True,False,,50.8247943,4.3601358,2020-08-19 08:20:33.116828000
27,2021-07-15,2021-02-01,4743,Inbound,Health,Mensuel,Contract Change,CSM,Churn,139.0,hello@skello.io,93200,ST DENIS,FR,2019-12-02 00:00:00.000000000,2019-12-02 00:00:00.000000000,True,2021-08-02 00:00:00.000000000,0,5,False,False,False,False,True,True,False,,,,2019-12-04 16:53:30.260151000
28,2021-07-01,2020-10-16,2108,Outbound,Hospitality,Mensuel,Contract Change,CSM,Churn,99.0,constance@skello.io,75019,PARIS,FR,2020-08-14 07:00:00.000000000,2020-08-14 00:00:00.000000000,True,2021-06-26 00:22:52.054000000,0,5,True,True,False,False,True,True,False,,48.8956441,2.388029200000001,2018-10-16 20:12:53.667386000
29,2021-10-27,2021-09-30,10314,Outbound,Other,Mensuel,Newbiz,Outbound,Churn,109.0,chloe.l@skello.io,38220,Vizille ,FR,2021-09-29 05:00:00.000000000,2021-09-29 21:00:00.000000000,True,2021-10-27 00:00:00.000000000,0,5,False,False,False,False,True,False,False,,,,2021-09-24 16:04:32.234568000
30,2022-01-10,2021-09-30,6165,Inbound,Hospitality,Mensuel,Contract Change,CSM,Churn,139.0,maelle.briot@skello.io,69002,LYON,FR,2020-03-26 00:00:00.000000000,2020-03-26 00:00:00.000000000,True,2022-01-31 00:00:00.000000000,0,5,False,True,False,False,True,True,False,,45.7619104,4.8331611,2020-03-26 10:38:51.866937000
31,2022-02-11,2021-03-02,6725,Outbound,Hospitality,Mensuel,Contract Change,,Churn,139.0,ilona.dronne@skello.io,75010,Paris,FR,2021-05-22 05:00:00.000000000,2021-05-22 22:00:00.000000000,False,,0,5,True,True,False,False,True,True,False,,48.8763472,2.3589137,2020-06-30 23:16:56.566773000
32,2021-07-01,2021-01-31,2039,Outbound,Hospitality,Mensuel,Contract Change,CSM,Churn,78.0,constance@skello.io, 87280, LIMOGES ,FR,2020-08-27 00:00:00.000000000,2020-08-27 00:00:00.000000000,True,2021-07-01 00:00:00.000000000,0,7,True,True,False,False,True,False,False,spv,45.88593789999999,1.2909852,2018-10-08 12:17:42.142933000
33,2021-08-11,2021-06-14,1048,Outbound,Hospitality,Mensuel,Contract Change,CSM,Churn,89.0,carlotta@skello.io,,,FR,2016-05-16 08:00:00.000000000,2016-05-16 01:00:00.000000000,True,2021-08-11 00:00:00.000000000,0,5,True,True,False,False,True,False,False,,48.7528987,1.9318118,2018-01-30 15:05:35.719191000
34,2022-02-08,2021-05-15,7308,Inbound,Hospitality,Mensuel,Contract Change,Account Management,Churn,188.0,hello@skello.io,33000,Bordeaux,FR,2020-09-23 00:00:00.000000000,2020-09-23 00:00:00.000000000,False,,1,5,False,True,False,False,True,True,False,,44.8303592,-0.5802940999999999,2020-09-18 08:34:52.265201000
35,2022-02-17,2021-10-12,3759,Outbound,Health,Mensuel,Contract Change,,Churn,87.2,timothee@skello.io,69007,Lyon,FR,2021-08-26 07:00:00.000000000,2021-08-26 22:00:00.000000000,True,2022-03-07 10:03:19.274000000,0,5,True,False,False,False,True,False,False,,45.7516622,4.8528595,2019-07-30 14:52:55.416935000
36,2021-08-11,2021-02-19,12849,Outbound,Hospitality,Mensuel,Contract Change,Outbound,Churn,139.0,hello@skello.io,49080,Bouchemaine,FR,2022-02-08 08:00:00.000000000,2022-02-08 03:00:00.000000000,False,,0,5,False,True,False,False,True,True,False,,47.4219843,-0.608456,2022-02-08 08:11:51.099519000
37,2021-12-11,2020-12-18,8067,Inbound,Hospitality,Mensuel,Newbiz,,Churn,109.0,maelle.briot@skello.io,92200,Neuilly Sur Seine,FR,2021-10-02 07:00:00.000000000,2021-10-02 00:00:00.000000000,True,2021-12-11 00:00:00.000000000,0,5,True,True,False,False,True,False,False,payfit,48.90470759999999,2.2556345,2020-12-10 14:59:08.573810000
38,2022-02-27,2021-03-01,5507,Outbound,Hospitality,Annuel,Contract Change,,Churn,112.59,ilona.dronne@skello.io,75017,PARIS,FR,2020-02-10 08:00:00.000000000,2020-02-10 00:00:00.000000000,True,2022-03-17 00:00:00.000000000,0,5,False,True,False,False,True,True,False,,48.89199869999999,2.3097472,2020-01-17 10:03:16.478216000
39,2022-01-01,2021-08-31,5228,Outbound,Hospitality,Mensuel,Contract Change,,Churn,40.87,timothee@skello.io,,,FR,2018-10-12 05:00:00.000000000,2018-10-12 21:00:00.000000000,True,2022-03-09 16:56:09.846000000,0,12,True,False,False,False,True,True,False,hanagroup,,,2020-01-08 19:14:24.258827000
40,2022-03-03,2021-10-31,10676,Inbound,Hospitality,Mensuel,Newbiz,Outbound,Churn,139.0,maelle.briot@skello.io,1060,Bruxelles,BE,2021-11-02 07:00:00.000000000,2021-11-02 20:00:00.000000000,True,2022-03-03 00:00:00.000000000,0,5,False,False,False,False,True,True,False,,50.8260392,4.3549751,2021-10-26 16:32:54.040691000
41,2021-11-02,2021-08-30,10005,Inbound,Industry & Services,Mensuel,Newbiz,Inbound,Churn,158.0,edgar@skello.io,97430,Le Tampon,FR,2021-08-24 07:00:00.000000000,2021-08-24 17:00:00.000000000,True,2021-11-02 00:00:00.000000000,0,5,False,False,False,False,True,False,False,,-21.2611923,55.507993,2021-08-24 11:12:48.512385000
42,2022-01-03,2021-09-02,3380,Outbound,Hospitality,Mensuel,Contract Change,,Churn,85.32,timothee@skello.io,69130,ECULLY,FR,2020-09-10 08:00:00.000000000,2020-09-10 23:00:00.000000000,True,2022-02-03 00:00:00.000000000,0,5,True,True,False,False,True,False,False,crepeat,45.78886300000001,4.775018,2019-05-27 16:12:00.133844000
43,2022-01-01,2021-08-31,5341,Outbound,Hospitality,Mensuel,Contract Change,,Churn,40.87,timothee@skello.io,,,FR,2018-10-12 05:00:00.000000000,2018-10-12 21:00:00.000000000,True,2022-03-09 16:50:52.614000000,0,12,True,False,False,False,True,True,False,hanagroup,,,2020-01-08 19:16:15.777121000
44,2021-07-01,2021-01-31,2057,Outbound,Hospitality,Mensuel,Contract Change,CSM,Churn,78.0,constance@skello.io, 51688 ,REIMS ,FR,2021-03-05 00:00:00.000000000,2021-03-05 00:00:00.000000000,True,2021-07-01 00:00:00.000000000,0,5,True,True,False,False,True,False,False,spv,49.23608460000001,4.069175899999999,2018-10-08 12:58:39.137672000
45,2022-03-10,2021-11-17,10876,Outbound,Hospitality,Mensuel,Roll-out,CSM,Churn,109.0,agathe.lemaistre@skello.io,92600,Asnières sur Seine,FR,2021-11-12 00:00:00.000000000,2021-11-12 00:00:00.000000000,True,2022-03-24 15:13:34.192000000,0,5,False,True,False,False,True,False,False,french_hotel,48.9309062,2.2829308,2021-11-10 11:21:16.355953000
46,2022-02-09,2021-12-31,11389,Outbound,Retail,Mensuel,Newbiz,Outbound,Churn,188.0,agathe.lemaistre@skello.io, 17630 ,LA FLOTTE,FR,2021-12-15 04:00:00.000000000,2021-12-15 00:00:00.000000000,True,2022-02-09 00:00:00.000000000,0,5,False,False,False,False,True,True,False,,46.1807259,-1.3240463,2021-12-15 10:21:52.876411000
47,2022-01-20,2021-05-19,3205,Outbound,Hospitality,Mensuel,Contract Change,,Churn,188.0,agathe.lemaistre@skello.io,75012,Paris,FR,2022-05-10 00:00:00.000000000,2022-05-10 00:00:00.000000000,False,,0,5,False,True,False,False,True,True,False,,48.8352227,2.4096386,2019-04-24 10:29:52.146028000
48,2022-03-07,2022-02-28,13281,Inbound,Hospitality,Mensuel,Newbiz,Inbound,Churn,139.0,baptiste@skello.io,76000,Rouen,FR,2022-02-21 04:00:00.000000000,2022-02-21 19:00:00.000000000,True,2022-03-07 00:00:00.000000000,0,5,False,False,False,False,True,True,False,,49.4458473,1.0856086,2022-02-21 12:00:54.600117000
49,2022-01-17,2021-11-26,7117,Outbound,Retail,Mensuel,Contract Change,CSM,Churn,92.65,agathe.lemaistre@skello.io,27300,Menneval,FR,2020-09-09 05:00:00.000000000,2020-09-09 22:00:00.000000000,True,2022-01-26 17:30:13.369000000,0,5,True,False,False,False,True,False,False,,49.10312320000001,0.6108893,2020-08-25 14:09:27.922089000
50,2021-07-11,2021-02-25,5600,Outbound,Hospitality,Mensuel,Contract Change,CSM,Churn,125.1,agathe.lemaistre@skello.io,92100,BOULOGNE,FR,2021-02-10 07:00:00.000000000,2021-02-10 00:00:00.000000000,True,2021-07-13 17:40:51.461000000,0,5,False,True,False,False,True,True,False,,,,2020-01-28 10:40:22.562403000
51,2022-03-13,2021-05-07,9138,Outbound,Retail,Mensuel,Newbiz,,Churn,158.0,hello@skello.io,83440,Callian,FR,2021-06-01 06:00:00.000000000,2021-06-01 20:00:00.000000000,True,2022-03-25 17:48:57.819000000,0,5,False,False,False,False,True,False,False,,43.6049446,6.7563885,2021-04-29 20:33:43.584668000
52,2021-09-28,2021-08-19,9923,Outbound,Industry & Services,Mensuel,Newbiz,Inbound,Churn,158.0,hello@skello.io,13210,SAINT REMY DE PROVENCE,FR,2021-08-16 00:00:00.000000000,2021-08-16 00:00:00.000000000,True,2021-09-28 00:00:00.000000000,0,5,False,True,False,False,True,False,False,,,,2021-08-02 05:34:36.805163000
53,2021-11-18,2021-09-30,7181,Outbound,Hospitality,Mensuel,Contract Change,,Churn,125.1,agathe.lemaistre@skello.io,06200,NICE,FR,2020-09-06 00:00:00.000000000,2020-09-07 00:00:00.000000000,True,2021-11-18 00:00:00.000000000,0,5,False,False,False,False,True,True,False,,43.690389,7.192183000000001,2020-09-06 08:40:59.546708000
54,2021-07-18,2019-10-31,4399,Inbound,Hospitality,Mensuel,Newbiz,Outbound,Churn,132.0,agathe.r@skello.io,64700,hendaye,FR,2019-10-28 00:00:00.000000000,2019-10-28 00:00:00.000000000,True,2021-07-18 00:00:00.000000000,0,5,False,True,False,False,True,True,False,,,,2019-10-31 16:17:46.973595000
55,2021-11-10,2021-04-29,9093,Inbound,Health,Mensuel,Newbiz,,Churn,89.0,hello@skello.io,75013,Paris,FR,2021-04-29 08:00:00.000000000,2021-04-29 20:00:00.000000000,True,2021-11-10 00:00:00.000000000,0,5,False,False,False,False,True,False,False,,48.8278613,2.3720852,2021-04-28 10:00:54.156418000
56,2021-07-01,2021-01-31,2029,Outbound,Hospitality,Mensuel,Contract Change,CSM,Churn,78.0,constance@skello.io, 91000  ,EVRY,FR,2020-08-27 00:00:00.000000000,2020-08-27 00:00:00.000000000,True,2021-07-01 00:00:00.000000000,0,5,True,True,False,False,True,False,False,spv,48.6249226,2.4291922,2018-10-08 12:02:36.401876000
57,2021-09-29,2021-05-31,4382,Outbound,Hospitality,Mensuel,Contract Change,,Churn,89.0,hello@skello.io,27100,Val de Reuil,FR,2021-06-04 09:00:00.000000000,2021-06-04 02:00:00.000000000,False,,0,5,True,True,False,False,True,False,False,,49.2485424,1.1821916,2019-10-30 10:50:57.134577000
58,2021-09-21,2021-03-31,8753,Outbound,Retail,Mensuel,Newbiz,Outbound,Churn,118.5,nina@skello.io,65290,juillan,FR,2021-05-21 05:00:00.000000000,2021-05-21 23:00:00.000000000,True,2021-09-21 00:00:00.000000000,0,5,True,False,False,False,True,False,False,,,,2021-03-19 14:33:14.653741000
59,2021-10-12,2019-04-26,3213,Inbound,Retail,Mensuel,Newbiz,,Churn,59.0,maelle.briot@skello.io,06300,NICE,FR,2019-07-10 08:00:00.000000000,2019-07-10 00:00:00.000000000,True,2021-10-15 00:00:00.000000000,0,10,False,True,False,False,True,False,False,,43.7031706,7.287722999999999,2019-04-24 15:21:05.485768000
60,2021-12-30,2021-02-01,884,Outbound,Hospitality,Annuel,Contract Change,,Churn,150.4,maelle.briot@skello.io,83310,COGOLIN,FR,2020-06-17 05:00:00.000000000,2020-06-17 01:00:00.000000000,True,2021-12-30 00:00:00.000000000,0,5,True,True,False,False,True,True,False,,43.2553424,6.4886355,2017-12-12 16:28:56.900608000
61,2022-01-03,2021-09-02,183,Outbound,Hospitality,Mensuel,Contract Change,,Churn,85.32,timothee@skello.io,33700,Mérignac,FR,2020-09-10 08:00:00.000000000,2020-09-10 21:00:00.000000000,True,2022-02-03 00:00:00.000000000,0,5,True,True,False,False,True,False,False,crepeat,44.8294418,-0.6566331999999999,2016-11-17 18:23:32.122823000
62,2021-12-26,2021-03-02,6726,Inbound,Hospitality,Mensuel,Contract Change,,Churn,139.0,ilona.dronne@skello.io,77700,Serris,FR,2020-09-07 04:00:00.000000000,2020-09-07 22:00:00.000000000,True,2021-12-26 00:00:00.000000000,0,5,True,True,False,False,True,True,False,,48.85511229999999,2.7780532,2020-06-30 23:28:43.248024000
63,2021-09-19,2021-01-01,8121,Inbound,Other,Mensuel,Newbiz,Inbound,Churn,109.0,hello@skello.io,34400,LUNEL,FR,2021-07-01 05:00:00.000000000,2021-07-01 21:00:00.000000000,True,2021-09-19 00:00:00.000000000,0,5,True,True,False,False,True,False,False,,,,2020-12-17 16:23:12.123236000
64,2022-01-12,2021-09-29,10147,Inbound,Hospitality,Mensuel,Roll-out,,Churn,89.0,ilona.dronne@skello.io,69002,Lyon,FR,2021-09-11 08:00:00.000000000,2021-09-11 21:00:00.000000000,True,2022-02-12 00:00:00.000000000,0,5,False,False,False,False,True,False,False,,45.74100929999999,4.8177264,2021-09-11 10:29:44.189796000
65,2021-08-26,2021-02-01,4683,Outbound,Hospitality,Mensuel,Contract Change,CSM,Churn,109.0,ilona.dronne@skello.io,67200,STRASBOURG,FR,2020-06-11 00:00:00.000000000,2020-06-11 00:00:00.000000000,True,2021-08-02 15:34:31.546000000,0,5,False,False,False,False,True,False,False,,,,2019-11-29 16:05:35.146151000
66,2022-01-03,2021-09-02,2900,Outbound,Hospitality,Mensuel,Contract Change,,Churn,85.32,timothee@skello.io,75001,PARIS,FR,2020-09-10 08:00:00.000000000,2020-09-10 22:00:00.000000000,True,2022-02-03 00:00:00.000000000,0,5,True,False,False,False,True,False,False,crepeat,48.8619911,2.3464163,2019-03-05 14:52:47.288486000
67,2021-07-26,2021-04-30,726,Outbound,Hospitality,Mensuel,Contract Change,CSM,Churn,139.0,carlotta@skello.io,75001,Paris,FR,2016-05-16 10:00:00.000000000,2016-05-16 10:00:00.000000000,True,2021-07-26 00:00:00.000000000,0,5,True,True,False,False,True,True,False,,48.8632132,2.3499506,2017-11-09 09:35:09.560806000
68,2021-11-18,2021-09-30,5791,Outbound,Hospitality,Mensuel,Contract Change,,Churn,125.1,agathe.lemaistre@skello.io,69002,LYON,FR,2020-09-25 09:00:00.000000000,2020-09-25 00:00:00.000000000,True,2021-11-18 00:00:00.000000000,0,5,True,True,False,False,True,True,False,,45.75896969999999,4.8370466,2020-02-11 17:29:58.125598000
69,2021-10-27,2020-10-27,7622,Inbound,Hospitality,Annuel,Newbiz,,Churn,142.2,marie-victoire@skello.io,73700,Bourg Saint Maurice,FR,2021-01-04 00:00:00.000000000,2021-01-04 00:00:00.000000000,True,2021-10-27 00:00:00.000000000,0,5,True,True,False,False,True,False,False,,,,2020-10-26 09:33:54.698507000
70,2021-12-23,2021-03-23,4518,Outbound,Retail,Mensuel,Contract Change,,Churn,139.0,ilona.dronne@skello.io,13480,Cabriès,FR,2020-03-02 08:00:00.000000000,2020-03-02 20:00:00.000000000,True,2022-03-30 00:00:00.000000000,0,5,False,True,False,False,True,True,False,,43.4195214,5.3609858,2019-11-18 21:48:18.949854000
71,2022-03-30,2022-01-17,4518,Outbound,Retail,Mensuel,Newbiz,,Churn,139.0,ilona.dronne@skello.io,13480,Cabriès,FR,2020-03-02 08:00:00.000000000,2020-03-02 20:00:00.000000000,True,2022-03-30 00:00:00.000000000,0,5,False,True,False,False,True,True,False,,43.4195214,5.3609858,2019-11-18 21:48:18.949854000
72,2021-07-09,2021-04-30,9162,Outbound,Retail,Mensuel,Newbiz,,Churn,109.0,elliot.w@skello.io,38200,Vienne ,FR,2021-05-11 00:00:00.000000000,2021-05-11 00:00:00.000000000,True,2021-07-31 00:00:00.000000000,0,5,False,False,False,False,True,False,False,,,,2021-04-30 15:17:31.030762000
73,2021-11-25,2021-09-30,2750,Outbound,Hospitality,Mensuel,Contract Change,,Churn,139.0,hello@skello.io,11100,Narbonne Plage,FR,2020-07-03 08:00:00.000000000,2020-07-03 02:00:00.000000000,True,2021-11-25 00:00:00.000000000,0,5,True,True,False,False,True,True,False,,43.1593865,3.1680536,2019-02-06 07:15:49.628038000
74,2022-03-16,2021-10-31,1267,Outbound,Hospitality,Mensuel,Contract Change,,Churn,139.0,agathe.lemaistre@skello.io,93110,Rosny-Sous-Bois,FR,2022-02-17 00:00:00.000000000,2022-02-17 00:00:00.000000000,True,2022-03-17 00:15:05.673089000,0,10,True,True,False,False,True,True,False,au_bureau_volfoni,48.8778607,2.4752101,2018-03-26 13:32:33.018628000
75,2021-08-02,2020-08-28,3437,Outbound,Hospitality,Annuel,Renewal,CSM,Churn,50.0,timothee@skello.io,1207,GENEVE,CH,2019-06-03 08:00:00.000000000,2019-06-03 17:00:00.000000000,True,2021-08-02 00:00:00.000000000,0,5,True,False,False,False,True,False,False,jour,46.2032538,6.154746299999999,2019-06-05 16:40:35.323919000
